Field=#~Integer~#~50|Field=Comment~String~Comment~125|Field=Description~String~Description~125|Field=Designator~String~Designator~125|Field=Footprint~String~Footprint~125|Field=LibRef~String~LibRef~125|Field=Quantity~Integer~Quantity~125|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Cuk_30Gan_Grid_Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\Harshit\Desktop\1222017\20102017\all pcbs\garbage2\Main Boards\Power Board\Cuk_30Gan_Grid_Project.PrjPcb|ReportField=Title~Bill of Materials For Project [Cuk_30Gan_Grid_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~392|ReportField=ReportTime~1:28:06 PM|ReportField=ReportDate~2/21/2018|ReportField=ReportDateTime~2/21/2018 1:28:06 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/21/2018|ReportField=CurrentTime~1:27:58 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Harshit\Desktop\1222017\20102017\all pcbs\garbage2\Main Boards\Power Board\Gate_Drivers.SchDoc|ReportField=DocumentName~Gate_Drivers.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/21/2018|ReportField=Organization~|ReportField=ProjectName~Cuk_30Gan_Grid_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Cuk_30Gan_Grid_Project.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Harshit\Desktop\1222017\20102017\all pcbs\garbage2\Main Boards\Power Board\Cuk_30Gan_Grid_Project.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Diode|VS-4ESH02HM3|D1, D2, D3, D4|TO-277A|Diode|4
2|LED2|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D13, D14|3.2X1.6X1.1|LED2|2
3|PB- K5A2 4N AU|Switch|SW1|Push Button _New|SW-PB|1
4|res_snubber|snubber_res_film|R15, R16, R18, R19|Res_Snub|res_snubber|4
5|SN74LVC1G04-EP|SN74LVC1G04-EP|Not1|Inverter|Inverter|1
6|res_smd|smd_res|FB9, FB10, FB11, FB12, FB13, FB14, FB15, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R17, R20, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, Rdis1, Rdis2, Rdis3, Rdis4, Rdis5, Rdis6, Rdis7, Rdis8|res_smd|res_smd|75
7|20|Resistor|R25, R30|J1-0603|Res3|2
8|Res3|Resistor|FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, R21, R22, R23, R24, R26, R27, R28, R29, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40|J1-0603|Res3|26
9|L78L05ABUTR|Positive Voltage Regulator|U4, U5, U6|Reg SOT-89 +5|L78L05ABZ|3
10|16V|Polarized Capacitor (Surface Mount)|C58|1812|Cap Pol3|1
11|Cap Pol3|Polarized Capacitor (Surface Mount)|C20, C21, C22, C23, C30, C31, C32, C33, C59, C63, C64|1812|Cap Pol3|11
12|Cap Pol3|Polarized Capacitor (Surface Mount)|C62, C67, C69, C70, C71, C73, C78, C84, C85, C86, C87, C89, C91|C0805|Cap Pol3|13
13|electrolytic|Polarized Capacitor (Radial)|C103|CAP-10u-16V|Cap Pol1|1
14|Tantalium|Polarized Capacitor (Radial)|C102, C108|Cap tantal 22u-25V|Cap Pol1|2
15|Tantalium/T520A226M006ATE090|Polarized Capacitor (Radial)|C98, C99, C104, C106|Cap Tantal 3216|Cap Pol1|4
16|PMEG2010EPK|PMEG2010EPK|D5, D6, D7, D8, D9, D10, D11, D12|PMEG2010EPK|PMEG2010EPK|8
17|L79L05ABUTR|Negative-Voltage Regulator|U7|Reg SOT-89|µA79M05CKTPR|1
18|MMSZ5221BS|MMSZ5221BS|DZ1, DZ2, DZ3|MMSZ5221BS|MMSZ5221BS|3
19|Comparator MAX942|MAX942ESA+|Max1, Max2|SOIC 8_ no EP|Max942|2
20|TL074CN|Low-Noise JFET-Input Operational Amplifier|U3|DIP14|TL074J|1
21|3300uF|LLS2A332MELC|C1, C2, C8, C9|Cap_3300uF_35mm height|3300uF|4
22|Signals to DSP|Header, 16-Pin, Dual row|P2|HDR2X16|Header 16X2|1
23|Signals from DSP|Header, 15-Pin, Dual row|P1|HDR2X15|Header 15X2|1
24|Header 5X2|Header, 5-Pin, Dual row|P3|HDR2X5|Header 5X2|1
25|INA240A1|GAIN 20|3|INA240|ina240|1
